0 mrad/s	1 mrad/s	2.5 mrad/s	4 mrad/s	5 mrad/s	6 mrad/s	7 mrad/s
9.41	9.41	9.41	9.41	9.41	9.03	9.37
9.41	9.42	9.42	9.42	9.41	8.35	9.41
9.41	9.42	9.41	9.41	9.41	9.03	9.39
9.41	9.41	9.42	9.42	9.41	9.08	9.41
9.42	9.41	9.41	9.42	9.41	9.12	9.41
9.42	9.41	9.41	9.41	9.42	9.11	9.41
9.41	9.42	9.41	9.41	9.41	9.04	9.41
9.37	9.37	9.4	9.39	9.39	8.99	9.39
9.41	9.41	9.41	9.4	9.41	9.09	9.41
9.41	9.42	9.4	9.36	9.26	9.11	9.41
9.41	9.41	9.41	9.4	9.41	9.41	9.41
9.41	9.4	9.41	9.41	9.41	9.4	9.41
9.4	9.38	9.41	9.41	9.41	9.39	9.41
9.41	9.41	9.4	9.42	9.42	9.41	9.4
9.39	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.39	9.41	9.41	9.4
9.4	9.41	9.39	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.35	9.42	9.41
9.41	9.42	9.42	9.41	9.37	9.41	9.41
9.41	9.41	9.41	9.42	9.33	9.41	9.41
9.41	9.41	9.41	9.41	9.33	9.41	9.41
9.41	9.4	9.42	9.41	9.24	9.18	9.41
9.41	9.42	9.41	9.41	9.39	9.17	9.42
9.41	9.41	9.41	9.41	9.41	9.24	9.41
9.41	9.41	9.41	9.42	9.41	9.38	9.41
9.42	9.41	9.42	9.41	9.41	9.41	9.41
9.41	9.42	9.41	9.42	9.42	9.41	9.41
9.41	9.41	9.41	9.38	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.42	9.41	9.41
9.41	9.41	9.41	9.4	9.41	9.42	9.41
9.42	9.41	9.42	9.4	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.42	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.41	9.38	9.41
9.41	9.41	9.41	9.41	9.42	9.4	9.41
9.41	9.41	9.41	9.42	9.38	9.42	9.42
9.41	9.41	9.42	9.41	9.42	9.41	9.41
