PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
34 -50 3491
35 -50 3881
36 -50 3249
37 -50 3434
38 -50 2784
39 -50 2775
40 -50 2436
41 -50 1965
42 -50 1860
43 -50 1805
44 -50 1633
45 -50 1582
46 -50 1175
47 -50 1017
48 -50 876
49 -50 863
50 -50 769
51 -50 657
52 -50 554
53 -50 524
54 -50 429
55 -50 376
56 -50 291
57 -50 245
58 -50 227
59 -50 179
60 -50 139
-60 -49 34
-59 -49 38
-58 -49 49
-57 -49 58
-56 -49 74
-55 -49 92
-54 -49 144
-53 -49 187
-52 -49 257
-51 -49 318
-50 -49 434
-49 -49 421
-48 -49 438
-47 -49 507
-46 -49 656
-45 -49 788
-44 -49 973
-43 -49 1146
-42 -49 1339
-41 -49 1513
-40 -49 1792
-39 -49 1978
-38 -49 2087
-37 -49 2376
-36 -49 2587
-35 -49 2789
-34 -49 3300
-33 -49 3575
-32 -49 3728
-31 -49 4204
-30 -49 4337
-29 -49 4564
-28 -49 4603
-27 -49 4757
-26 -49 4959
-25 -49 5255
-24 -49 5265
-23 -49 5451
-22 -49 5504
-21 -49 5639
-20 -49 5689
-19 -49 5734
-18 -49 5785
-17 -49 5937
-16 -49 5802
-15 -49 5948
-14 -49 5892
-13 -49 5962
-12 -49 6196
-11 -49 6297
-10 -49 6417
-9 -49 6524
-8 -49 6880
-7 -49 6856
-6 -49 6837
-5 -49 7000
-4 -49 7393
-3 -49 7785
-2 -49 7718
-1 -49 7946
0 -49 8011
1 -49 8058
2 -49 8062
3 -49 8276
4 -49 8320
5 -49 8188
6 -49 8206
7 -49 8267
8 -49 8132
9 -49 8006
10 -49 7631
11 -49 7802
12 -49 7664
13 -49 7701
14 -49 7577
15 -49 7336
16 -49 6945
17 -49 6749
18 -49 6443
19 -49 6121
20 -49 6060
21 -49 6046
22 -49 5920
23 -49 5498
24 -49 5349
25 -49 5063
26 -49 4906
27 -49 4813
28 -49 4564
29 -49 4342
30 -49 4187
31 -49 3845
32 -49 3820
33 -49 3679
34 -49 3397
35 -49 3488
36 -49 3158
37 -49 3073
38 -49 2680
39 -49 2652
40 -49 2376
41 -49 2128
42 -49 2070
43 -49 1923
44 -49 1665
45 -49 1540
46 -49 1400
47 -49 1212
48 -49 1065
49 -49 891
50 -49 746
51 -49 603
52 -49 479
53 -49 437
54 -49 394
55 -49 394
56 -49 282
57 -49 241
58 -49 199
59 -49 198
60 -49 142
-60 -48 48
-59 -48 51
-58 -48 51
