time	X	Y	Z
0.8125	1.11E-06	2.46E-06	1.78E-06
0.814453125	1.17E-06	1.71E-06	1.80E-06
0.81640625	1.26E-06	1.04E-06	6.39E-07
0.818359375	1.18E-06	3.25E-07	-6.74E-07
0.8203125	1.01E-06	-2.52E-07	-1.75E-06
0.822265625	8.08E-07	-5.72E-07	-3.32E-06
0.82421875	3.89E-07	-6.92E-07	-4.43E-06
0.826171875	-1.41E-07	-4.83E-07	-4.60E-06
0.828125	-6.70E-07	3.34E-10	-4.62E-06
0.830078125	-1.40E-06	5.24E-07	-3.89E-06
0.83203125	-2.17E-06	1.14E-06	-2.22E-06
0.833984375	-2.68E-06	1.85E-06	-7.43E-07
0.8359375	-3.14E-06	2.35E-06	8.01E-07
0.837890625	-3.60E-06	2.59E-06	2.68E-06
0.83984375	-3.76E-06	2.62E-06	3.92E-06
0.841796875	-3.75E-06	2.32E-06	4.71E-06
0.84375	-3.69E-06	1.80E-06	5.33E-06
0.845703125	-3.40E-06	1.15E-06	4.94E-06
0.84765625	-3.06E-06	2.23E-07	3.83E-06
0.849609375	-2.72E-06	-8.39E-07	2.70E-06
0.8515625	-2.09E-06	-1.70E-06	9.13E-07
0.853515625	-1.39E-06	-2.40E-06	-1.35E-06
0.85546875	-8.96E-07	-2.90E-06	-3.06E-06
0.857421875	-4.28E-07	-3.04E-06	-4.31E-06
0.859375	-5.31E-08	-2.92E-06	-5.04E-06
0.861328125	4.28E-08	-2.56E-06	-4.78E-06
0.86328125	7.54E-08	-1.80E-06	-4.23E-06
0.865234375	1.05E-08	-9.13E-07	-3.48E-06
0.8671875	-3.55E-07	-1.67E-07	-1.89E-06
0.869140625	-7.35E-07	5.35E-07	-1.26E-07
0.87109375	-9.96E-07	1.09E-06	1.35E-06
0.873046875	-1.33E-06	1.33E-06	2.80E-06
0.875	-1.53E-06	1.35E-06	3.49E-06
0.876953125	-1.44E-06	1.10E-06	3.40E-06
0.87890625	-1.36E-06	5.29E-07	3.36E-06
0.880859375	-1.15E-06	-1.37E-07	3.10E-06
0.8828125	-7.15E-07	-8.16E-07	2.43E-06
0.884765625	-3.26E-07	-1.63E-06	1.79E-06
0.88671875	1.16E-07	-2.33E-06	7.41E-07
0.888671875	7.60E-07	-2.68E-06	-7.19E-07
0.890625	1.28E-06	-2.75E-06	-1.71E-06
0.892578125	1.72E-06	-2.48E-06	-2.38E-06
0.89453125	2.23E-06	-1.85E-06	-2.91E-06
0.896484375	2.54E-06	-1.16E-06	-2.74E-06
0.8984375	2.67E-06	-3.68E-07	-2.22E-06
0.900390625	2.93E-06	6.10E-07	-1.73E-06
0.90234375	3.03E-06	1.41E-06	-8.04E-07
0.904296875	2.98E-06	1.90E-06	2.86E-07
0.90625	3.13E-06	2.25E-06	9.91E-07
0.908203125	3.25E-06	2.28E-06	1.84E-06
0.91015625	3.16E-06	1.97E-06	2.76E-06
0.912109375	3.14E-06	1.58E-06	3.14E-06
0.9140625	3.03E-06	9.90E-07	3.44E-06
0.916015625	2.70E-06	2.15E-07	3.65E-06
0.91796875	2.52E-06	-4.02E-07	3.16E-06
0.919921875	2.36E-06	-9.75E-07	2.38E-06
0.921875	2.02E-06	-1.55E-06	1.42E-06
0.923828125	1.86E-06	-1.83E-06	-7.49E-08
0.92578125	1.85E-06	-1.84E-06	-1.20E-06
0.927734375	1.70E-06	-1.69E-06	-1.45E-06
0.9296875	1.59E-06	-1.26E-06	-1.41E-06
0.931640625	1.47E-06	-6.57E-07	-8.53E-07
0.93359375	1.15E-06	-3.84E-08	4.03E-07
0.935546875	9.23E-07	6.73E-07	1.63E-06
0.9375	8.64E-07	1.35E-06	2.89E-06
0.939453125	6.58E-07	1.74E-06	4.48E-06
0.94140625	5.41E-07	1.91E-06	5.64E-06
0.943359375	7.09E-07	1.89E-06	6.05E-06
0.9453125	8.72E-07	1.59E-06	5.98E-06
0.947265625	1.10E-06	1.21E-06	5.09E-06
0.94921875	1.47E-06	7.79E-07	3.49E-06
0.951171875	1.68E-06	7.42E-08	1.90E-06
0.953125	1.80E-06	-7.12E-07	2.41E-07
0.955078125	2.06E-06	-1.34E-06	-1.52E-06
0.95703125	2.13E-06	-1.94E-06	-2.76E-06
0.958984375	1.99E-06	-2.35E-06	-3.63E-06
0.9609375	1.84E-06	-2.34E-06	-4.23E-06
