time	P	Y	R
1.468	-1.83E-06	3.67E-05	-9.81E-05
1.472	-9.07E-06	3.12E-05	-8.75E-05
1.476	-1.65E-05	2.19E-05	-9.53E-05
1.48	-3.13E-05	1.66E-05	-8.69E-05
1.484	-3.14E-05	2.23E-05	-8.99E-05
1.488	-3.13E-05	3.61E-05	-0.0001054421762
1.492	-2.40E-05	3.87E-05	-8.25E-05
1.496	-9.89E-06	4.09E-05	-6.98E-05
1.5	-1.18E-05	3.93E-05	-6.70E-05
1.504	-3.44E-06	3.73E-05	-7.09E-05
1.508	6.50E-06	3.19E-05	-8.83E-05
1.512	9.03E-06	4.14E-05	-0.0001021678651
1.516	1.26E-05	4.34E-05	-9.31E-05
1.52	2.81E-05	4.13E-05	-8.55E-05
1.524	3.99E-05	5.12E-05	-7.51E-05
1.528	4.16E-05	5.32E-05	-7.54E-05
1.532	4.27E-05	4.74E-05	-7.82E-05
1.536	3.75E-05	4.58E-05	-7.24E-05
1.54	5.09E-05	4.80E-05	-7.40E-05
1.544	5.82E-05	4.27E-05	-6.02E-05
1.548	5.75E-05	3.72E-05	-4.37E-05
1.552	6.10E-05	3.90E-05	-4.09E-05
1.556	6.14E-05	4.49E-05	-4.09E-05
1.56	4.99E-05	3.94E-05	-3.75E-05
1.564	5.70E-05	3.43E-05	-2.74E-05
1.568	6.64E-05	3.66E-05	-2.38E-05
1.572	7.14E-05	3.12E-05	-3.39E-05
1.576	6.71E-05	4.14E-05	-5.20E-06
1.58	5.51E-05	3.59E-05	-2.34E-05
1.584	6.39E-05	3.03E-05	-3.08E-05
1.588	5.95E-05	3.25E-05	-5.03E-05
1.592	6.00E-05	4.25E-05	-6.07E-05
1.596	4.84E-05	4.83E-05	-6.73E-05
1.6	4.55E-05	4.25E-05	-8.43E-05
1.604	4.70E-05	4.83E-05	-6.69E-05
1.608	3.78E-05	4.26E-05	-7.19E-05
1.612	3.22E-05	3.36E-05	-6.27E-05
1.616	2.79E-05	2.78E-05	-6.07E-05
1.62	2.06E-05	2.62E-05	-4.94E-05
1.624	1.42E-05	2.06E-05	-3.42E-05
1.628	-3.85E-06	2.31E-05	-3.68E-05
1.632	-8.98E-06	1.72E-05	-3.64E-05
1.636	-8.96E-06	1.59E-05	-2.62E-05
1.64	-6.51E-06	1.04E-05	-3.97E-05
1.644	7.03E-06	1.31E-05	-3.91E-05
1.648	1.66E-05	1.57E-05	-3.41E-05
1.652	1.98E-05	1.39E-05	-4.06E-05
1.656	2.19E-05	8.44E-06	-3.78E-05
1.66	1.38E-05	1.54E-05	-2.29E-05
1.664	2.05E-05	1.77E-05	-2.37E-05
1.668	2.12E-05	2.41E-05	-2.38E-05
1.672	2.90E-05	2.25E-05	-2.45E-06
