Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 34586 connected to 10.0.0.2 port 5201
[  4] 202.00-203.00 sec  1.09 GBytes  9.34 Gbits/sec   46    622 KBytes       
[  4] 203.00-204.00 sec  1.09 GBytes  9.41 Gbits/sec    0    622 KBytes       
[  4] 204.00-205.00 sec  1.10 GBytes  9.41 Gbits/sec    0    622 KBytes       
[  4] 205.00-206.00 sec  1.09 GBytes  9.41 Gbits/sec    0    622 KBytes       
[  4] 206.00-207.00 sec  1.09 GBytes  9.39 Gbits/sec    2    588 KBytes       
[  4] 207.00-208.00 sec  1.09 GBytes  9.40 Gbits/sec    0    590 KBytes       
[  4] 208.00-209.00 sec  1.10 GBytes  9.41 Gbits/sec    0    629 KBytes       
[  4] 209.00-210.00 sec   922 MBytes  7.74 Gbits/sec  128    450 KBytes       
[  4] 210.00-211.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 211.00-212.00 sec   831 MBytes  6.98 Gbits/sec  258    594 KBytes       
[  4] 212.00-213.00 sec  1.09 GBytes  9.40 Gbits/sec    0    594 KBytes       
[  4] 213.00-214.00 sec  1.09 GBytes  9.41 Gbits/sec    0    595 KBytes       
[  4] 214.00-215.00 sec  1.09 GBytes  9.41 Gbits/sec    0    612 KBytes       
[  4] 215.00-216.00 sec  1.10 GBytes  9.41 Gbits/sec    0    614 KBytes       
[  4] 216.00-217.00 sec  1.09 GBytes  9.40 Gbits/sec    0    639 KBytes       
[  4] 217.00-218.00 sec  1.09 GBytes  9.40 Gbits/sec    0    675 KBytes       
[  4] 218.00-219.00 sec  1.09 GBytes  9.41 Gbits/sec    2    691 KBytes       
[  4] 219.00-220.00 sec  1.09 GBytes  9.41 Gbits/sec    0    691 KBytes       
[  4] 220.00-221.00 sec  1.10 GBytes  9.42 Gbits/sec    0    691 KBytes       
[  4] 221.00-222.00 sec  1.09 GBytes  9.40 Gbits/sec    0    691 KBytes       
[  4] 222.00-223.00 sec  1.09 GBytes  9.41 Gbits/sec    0    691 KBytes       
[  4] 223.00-224.00 sec  1.09 GBytes  9.41 Gbits/sec    0    691 KBytes       
[  4] 224.00-225.00 sec   401 MBytes  3.36 Gbits/sec   40   1.41 KBytes       
